Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2016-11-03,,,,49.91,-0.51,,16.0,617.0,,,
2016-11-02,,,,50.42,-0.88,,7.0,616.0,,,
2016-11-01,,,,51.3,-0.12,,3.0,616.0,,,
2016-10-31,,,,51.42,-1.62,,1.0,615.0,,,
2016-10-28,,,,53.04,-0.76,,,615.0,,,
2016-10-27,,,,53.8,0.26,,2.0,615.0,,,
2016-10-26,,,,53.54,-0.87,,37.0,607.0,,,
2016-10-25,,,,54.41,-0.48,,1.0,607.0,,,
2016-10-24,,,,54.89,0.07,,,607.0,,,
2016-10-21,,,,54.82,0.52,,1.0,607.0,,,
2016-10-20,,,,54.3,-0.83,,,607.0,,,
2016-10-19,,,,55.13,0.73,,2.0,609.0,,,
2016-10-18,,,,54.4,0.38,,1.0,609.0,,,
2016-10-17,,,,54.02,-0.09,,,609.0,,,
2016-10-14,,,,54.11,-0.14,,,609.0,,,
2016-10-13,,,,54.25,0.24,,,609.0,,,
2016-10-12,,,,54.01,-0.4,,,609.0,,,
2016-10-11,,,,54.41,-0.63,,9.0,609.0,,,
2016-10-10,,,,55.04,0.85,,20.0,629.0,,,
2016-10-07,,,,54.19,-0.33,,,629.0,,,
2016-10-06,,,,54.52,0.33,,6.0,628.0,,,
2016-10-05,,,,54.19,0.7,,35.0,627.0,,,
2016-10-04,,,,53.49,0.08,,4.0,627.0,,,
2016-10-03,,,,53.41,0.6,,,627.0,,,
2016-09-30,,,,52.81,0.44,,10.0,637.0,,,
2016-09-29,,,,52.37,0.44,,1.0,637.0,,,
2016-09-28,,,,51.93,1.91,,,637.0,,,
2016-09-27,,,,50.02,-1.09,,2.0,637.0,,,
2016-09-26,,,,51.11,1.24,,,637.0,,,
2016-09-23,,,,49.87,-1.54,,7.0,630.0,,,
2016-09-22,,,,51.41,0.95,,,630.0,,,
2016-09-21,,,,50.46,0.62,,4.0,630.0,,,
2016-09-20,,,,49.84,-0.01,,20.0,635.0,,,
2016-09-19,,,,49.85,0.19,,,635.0,,,
2016-09-16,,,,49.66,-0.74,,2.0,635.0,,,
2016-09-15,,,,50.4,0.53,,80.0,587.0,,,
2016-09-14,,,,49.87,-1.05,,4.0,591.0,,,
2016-09-13,,,,50.92,-0.85,,12.0,603.0,,,
2016-09-12,,,,51.77,0.39,,16.0,619.0,,,
